Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1892,-.49,-.18,-.67,-.46,-.24,-.06,-.38,-.34,-.21,-.27,-.83,-.66,-.40,-.35,-.23,-.46,-.26,-.43
1893,-1.50,-.95,-.32,-.30,-.42,-.17,-.14,-.34,-.29,-.29,-.33,-.62,-.47,-.48,-1.03,-.35,-.22,-.30
1894,-.91,-.42,-.21,-.53,-.26,-.40,-.21,-.28,-.33,-.28,-.48,-.35,-.39,-.41,-.65,-.34,-.30,-.36
1895,-.70,-.81,-.50,-.19,-.30,-.21,-.19,-.28,-.06,-.09,-.12,-.21,-.30,-.32,-.62,-.33,-.22,-.09
1896,-.35,-.17,-.48,-.60,-.16,.08,.01,-.10,-.12,.06,-.20,-.20,-.19,-.19,-.25,-.41,.00,-.09
1897,-.39,-.41,-.40,-.03,.14,-.06,.05,-.06,-.06,-.15,-.26,-.29,-.16,-.15,-.33,-.10,-.02,-.16
1898,.05,-.45,-.81,-.28,-.27,-.08,-.12,-.17,-.17,-.36,-.51,-.26,-.29,-.29,-.23,-.46,-.13,-.35
1899,-.11,-.64,-.58,-.22,-.24,-.34,-.16,-.06,-.05,.04,.36,-.46,-.20,-.19,-.34,-.35,-.19,.12
1900,-.61,-.13,.07,-.09,-.02,-.09,-.10,-.07,-.02,.23,-.12,-.02,-.08,-.12,-.40,-.01,-.09,.03
1901,-.33,-.10,.27,.11,-.11,.02,.02,-.15,-.27,-.32,-.19,-.39,-.12,-.09,-.15,.09,-.04,-.26
1902,-.13,-.03,-.37,-.37,-.39,-.39,-.32,-.29,-.33,-.33,-.46,-.60,-.33,-.32,-.18,-.37,-.33,-.38
1903,-.22,.12,-.16,-.46,-.43,-.45,-.42,-.55,-.49,-.45,-.40,-.56,-.37,-.38,-.23,-.35,-.47,-.45
1904,-.75,-.61,-.45,-.50,-.44,-.48,-.59,-.54,-.63,-.39,-.08,-.34,-.48,-.50,-.64,-.46,-.54,-.37
1905,-.41,-.82,-.23,-.45,-.28,-.27,-.21,-.23,-.19,-.27,.09,-.17,-.29,-.30,-.52,-.32,-.24,-.12
1906,-.56,-.53,-.21,.04,-.25,-.11,-.26,-.17,-.24,-.17,-.40,.03,-.23,-.25,-.42,-.14,-.18,-.27
1907,-.58,-.73,-.31,-.45,-.58,-.51,-.40,-.38,-.40,-.19,-.55,-.58,-.47,-.42,-.43,-.45,-.43,-.38
1908,-.54,-.28,-.70,-.48,-.29,-.30,-.36,-.57,-.31,-.46,-.63,-.56,-.46,-.46,-.47,-.49,-.41,-.47
1909,-.94,-.46,-.66,-.66,-.50,-.53,-.45,-.36,-.37,-.35,-.12,-.58,-.50,-.50,-.65,-.61,-.45,-.28
1910,-.35,-.37,-.50,-.42,-.30,-.45,-.38,-.41,-.43,-.32,-.61,-.81,-.45,-.43,-.44,-.40,-.41,-.46
1911,-.70,-.59,-.63,-.46,-.45,-.35,-.38,-.44,-.38,-.19,-.21,-.31,-.42,-.47,-.70,-.52,-.39,-.26
1912,-.35,-.17,-.61,-.16,-.13,-.15,-.53,-.78,-.81,-.85,-.52,-.57,-.47,-.45,-.28,-.30,-.48,-.73
1913,-.56,-.65,-.47,-.51,-.55,-.49,-.52,-.46,-.43,-.40,-.14,.11,-.42,-.48,-.59,-.51,-.49,-.32
1914,.17,-.11,-.36,-.39,-.19,-.23,-.34,-.28,-.31,-.01,-.23,-.06,-.20,-.18,.05,-.32,-.28,-.18
1915,-.26,-.09,-.24,.07,-.02,-.12,-.10,-.16,-.22,-.27,-.03,-.24,-.14,-.12,-.14,-.06,-.13,-.17
1916,-.10,-.17,-.38,-.34,-.38,-.51,-.34,-.37,-.49,-.35,-.47,-1.12,-.42,-.34,-.17,-.37,-.41,-.44
1917,-.52,-.69,-.75,-.65,-.73,-.49,-.33,-.40,-.31,-.63,-.32,-1.06,-.57,-.58,-.78,-.71,-.41,-.42
1918,-.70,-.46,-.25,-.59,-.49,-.46,-.35,-.37,-.26,-.05,-.23,-.57,-.40,-.44,-.74,-.44,-.39,-.18
1919,-.39,-.40,-.38,-.23,-.42,-.39,-.34,-.31,-.20,-.09,-.48,-.56,-.35,-.35,-.45,-.35,-.35,-.25
1920,-.15,-.29,.00,-.21,-.21,-.26,-.26,-.31,-.35,-.40,-.45,-.72,-.30,-.29,-.33,-.14,-.28,-.40
1921,.19,-.09,-.11,-.17,-.24,-.14,-.03,-.30,-.18,.00,-.11,-.13,-.11,-.16,-.21,-.17,-.16,-.10
1922,-.39,-.63,-.11,-.16,-.18,-.15,-.28,-.36,-.42,-.31,-.12,-.16,-.27,-.27,-.38,-.15,-.26,-.29
1923,-.17,-.47,-.39,-.53,-.39,-.24,-.29,-.28,-.17,.06,.15,.11,-.22,-.24,-.27,-.44,-.27,.01
1924,-.27,-.20,.02,-.26,-.06,-.19,-.22,-.27,-.23,-.24,.11,-.36,-.18,-.14,-.12,-.10,-.23,-.12
1925,-.26,-.36,-.22,-.16,-.21,-.26,-.26,-.20,-.05,-.10,.23,.23,-.14,-.19,-.33,-.20,-.24,.03
1926,.54,.19,.38,-.12,-.23,-.21,-.20,-.07,-.05,.05,.16,-.30,.01,.05,.32,.01,-.16,.05
1927,-.28,-.07,-.47,-.26,-.14,-.14,-.09,-.16,.03,.24,.10,-.37,-.13,-.13,-.22,-.29,-.13,.12
1928,.26,.08,-.23,-.32,-.17,-.32,-.11,-.19,-.16,-.09,.04,-.04,-.10,-.13,-.01,-.24,-.21,-.07
1929,-.56,-.79,-.19,-.35,-.28,-.39,-.35,-.20,-.21,-.02,-.03,-.65,-.34,-.28,-.46,-.27,-.32,-.09
1930,-.12,-.19,.12,-.16,-.20,-.12,-.04,.01,-.02,.02,.44,.08,-.01,-.08,-.32,-.08,-.05,.15
1931,.01,-.23,-.06,-.21,-.14,.15,.08,.09,.18,.37,.25,.10,.05,.05,-.04,-.14,.10,.26
1932,.39,-.19,-.21,.10,-.11,-.14,-.15,-.08,.10,.14,-.32,-.22,-.06,-.03,.10,-.07,-.12,-.03
1933,-.18,-.30,-.31,-.17,-.26,-.31,-.14,-.14,-.28,-.17,-.24,-.54,-.25,-.23,-.23,-.25,-.20,-.23
1934,-.13,.33,-.27,-.28,.09,-.01,-.03,-.09,-.13,.13,.27,.18,.00,-.06,-.11,-.15,-.04,.09
1935,-.40,.57,.03,-.35,-.28,-.14,-.04,-.07,-.05,.12,-.31,-.16,-.09,-.06,.11,-.20,-.08,-.08
1936,-.28,-.49,-.12,-.05,.00,.04,.09,.03,.07,.08,.15,.15,-.03,-.05,-.31,-.06,.05,.10
1937,.09,.24,-.23,-.06,.12,.15,.15,.16,.29,.33,.24,.00,.12,.13,.16,-.06,.15,.28
1938,.36,.29,.35,.31,.03,-.07,-.03,.08,.15,.31,.30,-.13,.16,.17,.21,.23,.00,.26
1939,.03,-.01,-.24,-.08,.01,.00,.05,.08,.13,.07,.25,.78,.09,.02,-.03,-.10,.05,.15
1940,-.10,.14,.03,.28,.16,.17,.15,.07,.26,.28,.30,.36,.17,.21,.27,.16,.13,.28
1941,.18,.47,.12,.13,.23,.21,.25,.19,.10,.51,.18,.19,.23,.24,.33,.16,.22,.26
1942,.40,-.09,.00,.09,.17,.11,-.01,-.08,.11,.28,.26,.27,.13,.12,.17,.09,.01,.22
1943,-.09,.38,.00,.31,.23,-.07,-.02,.10,.14,.46,.36,.38,.18,.17,.19,.18,.01,.32
1944,.62,.43,.31,.19,.25,.18,.15,.17,.36,.44,.20,.00,.28,.31,.48,.25,.17,.33
1945,.12,-.05,.10,.30,.08,.08,.07,.29,.21,.24,.10,-.21,.11,.13,.02,.16,.15,.18
1946,.35,.10,.12,.32,.04,-.05,-.04,-.09,-.03,.02,.07,-.45,.03,.05,.08,.16,-.06,.02
1947,-.04,-.03,.29,.23,.07,.01,-.03,-.04,-.01,.41,.19,-.05,.08,.05,-.17,.20,-.02,.20
1948,.30,-.14,-.27,-.02,.17,.05,.02,.03,-.03,.08,.04,-.39,-.01,.01,.04,-.04,.03,.03
1949,.23,-.09,.04,-.03,.01,-.20,-.11,-.05,-.10,.07,.05,-.14,-.03,-.05,-.08,.01,-.12,.01
1950,-.29,-.27,.06,-.22,-.04,-.06,-.18,-.19,-.09,-.06,-.33,-.13,-.15,-.15,-.23,-.07,-.15,-.16
1951,-.36,-.51,-.18,.06,.17,-.02,.08,.22,.34,.29,.08,.38,.04,.00,-.33,.02,.09,.23
1952,.16,.17,-.22,.18,.15,.16,.14,.07,.14,-.01,-.21,.01,.06,.09,.24,.04,.12,-.03
1953,.24,.37,.25,.41,.25,.25,.22,.18,.17,.27,.09,.22,.24,.23,.21,.30,.22,.18
1954,-.24,.00,-.16,-.01,-.07,-.04,-.11,-.01,.09,.13,.34,-.11,-.02,.01,-.01,-.08,-.05,.19
1955,.43,-.12,-.43,-.24,-.13,-.10,-.05,.07,-.02,.12,-.34,-.28,-.09,-.08,.06,-.27,-.03,-.08
1956,-.04,-.32,-.23,-.26,-.30,-.20,-.20,-.28,-.32,-.28,-.26,-.11,-.23,-.25,-.21,-.26,-.22,-.29
1957,-.14,-.05,-.10,-.09,-.06,.12,.11,.16,.12,.06,.12,.24,.04,.01,-.10,-.08,.13,.10
1958,.69,.28,.16,.02,.12,.05,.05,.13,.07,.08,.03,.18,.15,.16,.40,.10,.08,.06
1959,.24,.16,.33,.22,.04,.14,.05,.09,.13,-.04,.03,.10,.13,.13,.19,.20,.09,.04
1960,.15,.42,-.40,-.12,.03,.18,.09,.11,.12,.05,-.08,.39,.08,.05,.22,-.16,.13,.03
1961,.17,.29,.22,.14,.07,.18,.06,.04,-.03,-.04,.07,-.17,.08,.13,.29,.14,.09,.00
1962,.27,.36,.30,.22,.02,-.13,.10,.03,-.02,.13,.12,.10,.13,.10,.16,.18,.00,.07
1963,.08,.50,-.12,.04,-.05,-.04,.10,.14,.13,.42,.43,.03,.14,.14,.22,-.04,.07,.33
1964,-.04,-.02,-.32,-.30,-.10,-.09,-.13,-.23,-.28,-.31,-.21,-.27,-.19,-.17,-.01,-.24,-.15,-.27
1965,-.02,-.37,-.10,-.26,-.14,-.20,-.18,-.20,-.20,-.02,.04,-.08,-.14,-.16,-.22,-.16,-.20,-.06
1966,-.25,.03,.00,-.22,-.05,.06,.11,.14,.06,-.10,.01,-.03,-.02,-.02,-.10,-.09,.10,-.01
1967,-.18,-.37,.23,.05,.21,-.06,.04,.06,-.03,.30,.04,.02,.03,.02,-.19,.16,.02,.10
1968,-.29,-.16,.44,-.01,-.06,-.05,-.08,-.08,-.05,-.01,-.21,-.33,-.07,-.04,-.14,.12,-.07,-.09
1969,-.43,-.46,-.20,.04,.12,-.04,.06,.05,.04,.03,.15,.31,-.03,-.08,-.41,-.02,.02,.07
1970,-.03,.27,-.07,-.02,.00,.01,-.04,-.05,-.05,-.20,.01,-.31,-.04,.01,.18,-.03,-.03,-.08
1971,-.15,-.21,-.28,-.20,-.12,-.14,-.13,-.16,-.14,-.16,-.02,-.14,-.15,-.17,-.22,-.20,-.14,-.11
1972,-.54,-.52,.01,-.12,-.15,-.10,-.05,-.09,-.27,-.04,-.19,-.04,-.18,-.18,-.40,-.09,-.08,-.17
1973,.15,.44,.32,.19,.09,.16,.04,.03,-.08,-.08,-.10,-.04,.09,.09,.18,.20,.08,-.09
1974,-.26,-.35,.03,-.10,-.19,-.18,-.13,-.11,-.16,-.23,-.21,-.27,-.18,-.16,-.21,-.09,-.14,-.20
1975,.16,.09,.10,.05,-.02,-.08,-.06,-.13,-.07,-.17,-.30,-.22,-.05,-.06,.00,.05,-.09,-.18
1976,.05,-.12,-.31,.02,-.26,-.20,-.27,-.21,-.12,-.51,-.32,-.26,-.21,-.20,-.10,-.18,-.22,-.32
1977,-.16,.11,.26,.25,.23,.22,.08,.02,.13,-.02,.28,.02,.12,.10,-.10,.25,.11,.13
1978,.16,.04,.21,.07,-.06,-.14,-.07,-.14,-.01,.00,.16,.02,.02,.02,.07,.07,-.12,.05
1979,-.05,-.35,.18,-.17,.01,.08,.05,.04,.19,.23,.24,.54,.08,.04,-.13,.01,.06,.22
1980,.21,.41,.07,.15,.26,.19,.14,.09,.10,.12,.20,.09,.17,.21,.39,.16,.14,.14
1981,.79,.63,.67,.39,.18,.28,.09,.16,.14,.23,.35,.54,.37,.33,.50,.41,.17,.24
1982,-.14,.16,.06,.17,.09,.01,.04,-.07,.06,.00,-.11,.38,.05,.07,.19,.10,-.01,-.02
1983,.55,.35,.42,.06,.05,.11,.20,.25,.26,.12,.49,.11,.25,.27,.43,.18,.19,.29
1984,.33,.02,.18,-.07,.23,.09,.09,.05,-.04,.08,-.10,-.42,.04,.08,.15,.11,.08,-.02
1985,.07,-.29,.00,-.04,.08,.00,-.08,-.02,.03,.02,.02,.16,.00,-.05,-.21,.01,-.03,.02
1986,.36,.31,.26,.15,.19,.14,-.02,.04,-.02,.09,.04,.06,.13,.14,.28,.20,.05,.03
1987,.25,.50,.00,.07,.23,.16,.26,.27,.39,.22,.10,.50,.25,.21,.27,.10,.23,.24
1988,.59,.46,.47,.44,.43,.40,.42,.26,.27,.23,.06,.43,.37,.38,.52,.45,.36,.19
1989,.08,.39,.45,.32,.22,.24,.32,.26,.23,.25,.11,.33,.27,.27,.30,.33,.27,.20
1990,.47,.54,1.16,.71,.50,.47,.32,.40,.42,.48,.46,.38,.53,.52,.45,.79,.40,.45
1991,.59,.57,.45,.56,.33,.47,.43,.35,.35,.29,.32,.20,.41,.42,.51,.45,.42,.32
1992,.61,.50,.54,.15,.19,.04,-.10,-.07,-.18,-.17,-.09,.21,.14,.13,.43,.30,-.04,-.15
1993,.39,.52,.38,.23,.32,.22,.12,.02,-.07,.12,-.21,.22,.19,.19,.37,.31,.12,-.05
1994,.34,-.05,.49,.48,.39,.41,.33,.32,.33,.54,.50,.36,.37,.36,.17,.45,.36,.46
1995,.75,1.19,.59,.71,.41,.50,.37,.53,.43,.59,.57,.27,.58,.58,.76,.57,.47,.53
1996,.27,.54,.32,.17,.35,.25,.29,.18,.04,.05,.35,.35,.26,.26,.36,.28,.24,.14
1997,.36,.59,.74,.49,.42,.49,.41,.48,.51,.63,.59,.51,.52,.51,.44,.55,.46,.58
1998,.62,1.03,.72,.87,.66,.73,.75,.72,.61,.53,.49,.74,.71,.69,.72,.75,.73,.54
1999,.59,1.00,.29,.54,.36,.35,.35,.30,.40,.39,.53,.66,.48,.49,.78,.40,.34,.44
2000,.38,.89,.83,.89,.55,.44,.42,.47,.36,.29,.19,.27,.50,.53,.64,.76,.44,.28
2001,.56,.45,.76,.59,.69,.51,.63,.68,.56,.60,.97,.65,.64,.61,.43,.68,.61,.71
2002,1.02,1.14,1.11,.51,.51,.68,.66,.55,.62,.53,.78,.42,.71,.73,.94,.71,.63,.65
2003,.92,.56,.66,.61,.72,.54,.68,.86,.78,.98,.66,.98,.75,.70,.64,.66,.69,.81
2004,.67,.91,.86,.70,.52,.47,.49,.55,.60,.70,.98,.45,.66,.70,.85,.69,.50,.76
2005,.94,.72,.94,.93,.77,.79,.75,.69,.90,.95,1.05,.83,.85,.82,.70,.88,.74,.97
2006,.65,.95,.78,.59,.76,.81,.69,.69,.82,.96,.95,1.16,.82,.79,.81,.71,.73,.91
2007,1.45,.89,.96,1.07,.72,.65,.65,.73,.67,.83,.82,.77,.85,.88,1.17,.92,.68,.77
2008,.34,.58,1.13,.65,.60,.61,.60,.58,.57,.85,.96,.65,.68,.69,.56,.79,.60,.80
2009,.82,.70,.59,.70,.66,.68,.68,.72,.85,.78,.84,.66,.72,.72,.72,.65,.69,.82
2010,.80,.94,1.10,1.13,.94,.84,.89,.86,.70,.89,1.20,.50,.90,.91,.80,1.06,.86,.93
2011,.61,.56,.88,.84,.66,.76,.72,.71,.73,.90,.66,.88,.74,.71,.56,.79,.73,.76
2012,.67,.59,.71,1.06,.97,.94,.85,.76,.86,.91,.97,.46,.81,.85,.71,.91,.85,.91
2013,.85,.78,.81,.68,.78,.77,.69,.73,.70,.83,1.12,.83,.80,.76,.69,.75,.73,.88
2014,.97,.72,1.19,1.08,.89,.81,.76,.91,.83,.93,.80,1.09,.92,.89,.84,1.06,.83,.85
2015,1.18,1.19,1.33,1.02,1.04,1.05,.92,1.00,1.17,1.28,1.38,1.53,1.17,1.14,1.15,1.13,.99,1.28
2016,1.54,1.94,1.90,1.47,1.11,1.12,1.05,1.12,1.22,1.03,1.12,1.04,1.31,1.35,1.67,1.50,1.10,1.13
2017,1.38,1.51,1.52,1.19,.92,.92,.96,1.02,1.00,1.05,1.22,1.37,1.17,1.15,1.31,1.21,.97,1.09
2018,1.14,1.24,1.17,.96,1.00,.86,.90,.87,.96,1.24,.97,1.08,1.03,1.06,1.25,1.05,.88,1.06
2019,1.20,1.11,1.54,1.24,.98,1.19,1.03,1.09,1.21,1.30,1.20,1.39,1.21,1.18,1.13,1.26,1.10,1.24
2020,1.58,1.70,1.66,1.40,1.28,1.13,1.10,1.12,1.20,1.21,1.61,1.23,1.35,1.36,1.56,1.44,1.12,1.34
2021,1.25,.96,1.20,1.12,1.03,1.20,1.07,1.02,1.05,1.31,1.31,1.14,1.14,1.15,1.15,1.12,1.10,1.22
2022,1.24,1.17,1.43,1.09,1.01,1.13,1.05,1.17,1.15,1.31,1.09,1.06,1.16,1.16,1.18,1.17,1.12,1.19
2023,1.28,1.32,1.59,1.02,1.11,1.18,1.43,1.57,***,***,***,***,***,***,1.22,1.24,1.39,***
